2022/02/10 2:14:07,通年,１年イタリア語（Step 1）ニ　１,三森のぞみ,文学部,5,5（易しい、面白い）,4,4,小テスト,,ペーパーテスト,,あり,習ったことを普通に復習していればテストは乗り切れるかと思います。極端に覚えることが多いわけでもないので、少しでもイタリアに興味があるなら(美術でも食べ物でも)個人的にはおすすめしたい二外の授業です。
2022/02/07 3:57:17,秋学期,１年スペイン語（Step 1）ニ,若林大我,文学部,1,1（難しい、つまらない）,3,1（難しい、つまらない）,"課題(問題演習や小レポートなど), 小テスト",きつい,オンラインテスト,きつい,あり,結構厳しい先生です、悪目立ちせず言われたことを言われたとおりにやるのが良いと思います。
2022/02/23 23:36:16,秋学期,１年スペイン語（Step 2）イ ４,豊田唯,文化構想学部,5,4,5（易しい、面白い）,5（易しい、面白い）,"課題(問題演習や小レポートなど), 小テスト",ふつう,オンラインテスト,きつい,なし,期末テストがほんとに時間きついです、
2022/02/23 23:34:01,秋学期,１年スペイン語（Step 2）ニ ４,政岡潔子,文化構想学部,5,2,2,2,"課題(問題演習や小レポートなど), 小テスト",ふつう,オンラインテスト,きつい,あり,本当にちゃんと勉強してれば単位はくるけど、メンタルが抉られます。
2022/02/21 11:03:09,秋学期,１年ドイツ語（Step 1）イ　３,久保さやか,文学部,5,2,4,3,小テスト,ふつう,オンラインテスト,ふつう,あり,文法を毎日やれば余裕だと思います。ドイツ語はそんなもんです、、、
2022/02/21 11:08:07,秋学期,１年ドイツ語（Step 1）ハ　２,柳勝巳,文学部,4,4,4,3,小テスト,ふつう,オンラインテスト,ふつう,あり,テストはテキストを読むだけで、割と楽ではありました。
2022/02/07 11:25:42,春学期,１年フランス語（Step 1）イ １,佐藤陽介,文化構想学部,5,4,4,4,なし,,オンラインテスト,ふつう,あり,毎回の予習復習を怠らない方が良い
2022/02/07 11:24:27,春学期,１年フランス語（Step 1）ニ １,中原暁彦,文化構想学部,5,4,4,4,なし,,期末レポート,楽,あり,授業をしっかり受けていれば高評価！\nレポートの内容は授業中に先生が発音したフランス語をディクテーションしたり教科書に載ってる問題を解くもの。レポートというよりは問題演習に近い
2022/02/07 11:27:52,春学期,１年フランス語（Step 1）ハ １,佐藤陽介,文化構想学部,5,4,4,4,なし,,オンラインテスト,ふつう,あり,クラスの雰囲気は和やかで先生は優しい。\n先生の奥様とお嬢様は度々、また一度だけお嬢様のお友達が登場した。
2022/02/07 11:21:46,春学期,１年フランス語（Step 1）ロ １,カルトン・マルティヌ,文化構想学部,5,4,4,4,課題(問題演習や小レポートなど),ふつう,なし,,あり,オンデマンド中心でzoomが月に多くて2度くらいある
2022/02/20 20:55:42,春学期,１年中国語（Step 1）イ １,内藤正子,文化構想学部,3,3,3,3,課題(問題演習や小レポートなど),ふつう,オンラインテスト,ふつう,あり,試験は中国語の会話を音読するというものだった。先生は優しい。教科書の問題の答え合わせをするときは当てられるが、当てられる順番は決まっているので問題ない。
2022/02/22 20:48:00,春学期,１年中国語（Step 1）イ １１,高山亮太,文化構想学部,4,5（易しい、面白い）,5（易しい、面白い）,2,小テスト,ふつう,オンラインテスト,楽,あり,毎回の小テストは満点楽勝というわけではなく学生が間違えそうな問題を出してくる。\n期末テストではピンインを結構書かせてくるためピンインの正しい暗記が鍵となる。\n授業はカメラオフで、指定された順番で1、2回答えればよいだけだが、先生をガン無視して黙りこくっていても何も言われず逆に謝られる。先生は基本的に腰が低い。
2022/02/18 21:04:20,春学期,１年中国語（Step 1）イ　２,南勇,文学部,4,2,3,3,"課題(問題演習や小レポートなど), 小テスト",ふつう,オンラインテスト,ふつう,あり,リスニングで単語の日本語訳→文章の日本語訳→日本文の中訳を順繰りに当てられる。\nリスニングの文は事前にダウンロードしておけるので、授業までに書き取り＆軽く日本語訳をしておかないと指された時分からない。あまりにも分からないと、予習をやっていないのかと詰められる。\n当て方は画面に表示される名簿通りなので自分が当たる問題は把握しやすい。
2022/02/20 20:59:51,春学期,１年中国語（Step 1）ニ １,小島瑞紀,文化構想学部,3,3,3,3,なし,,オンラインテスト,ふつう,あり,毎回指定された箇所を音読し、発音チェックを受ける。試験も口頭試験で、普段の授業と同様の形式。
2022/02/20 20:58:03,春学期,１年中国語（Step 1）ハ １,中村優花,文化構想学部,3,3,3,3,なし,,オンラインテスト,きつい,あり,試験はオンラインで行われるが、スピーディーに解かないと時間が足りなくなるので注意。授業の際は画面オンを求められる。先生の文法解説はわかりやすい。
2022/02/17 23:56:03,春学期,２年法学演習（民法） Ｄ （春）,喜友名菜織,法学部,5,5（易しい、面白い）,5（易しい、面白い）,5（易しい、面白い）,課題(問題演習や小レポートなど),楽,なし,,あり,今ホットな家族法について優しい先生が丁寧に説明してくださる。少人数で楽しい授業だった。
2022/02/09 21:18:48,春学期,２年法学演習（民法） Ｋ （春）,鈴木隆史,法学部,5,5（易しい、面白い）,5（易しい、面白い）,5（易しい、面白い）,なし,,なし,,あり,家族法の2年ゼミ。学籍番号順にペアを組み、半期に1回Zoomで発表する。なぜか発表の最初にはガッチガチの自己紹介を入れさせられる。家族法初学者にも親切な説明がステキ。先生はみんなと仲良くなりたくてたまらないので、先生の認知をもらうことが好成績のミソ。とりあえず陽キャとコミュ強と野球好きはとった方がいい。陰キャでもAは来るのでとった方がいい。ちょっと早めにZoomに入って先生と雑談でもしとけばA＋は固い。先生は明るいが、たまにちょっと重い身の上話が入るので要注意。
2022/02/10 6:34:11,春学期,Academic Lecture Comprehension 1,ダイヤー　マイケル　Ｗ．Ａ．,基幹理工学部,1,3,5（易しい、面白い）,1（難しい、つまらない）,課題(問題演習や小レポートなど),きつい,オンラインテスト,ふつう,あり,授業はなく、毎週オンラインでの課題が出されるだけ。この課題がとにかく大変。他のクラスと比べて量が多い。明らかに去年の使い回しだろと思われるコピペも多数存在する。
2022/02/23 10:11:05,通年,Academic Lecture Comprehension 1,フェラーロ・ティモシー・クリントン,創造理工学部,5,5（易しい、面白い）,5（易しい、面白い）,2,課題(問題演習や小レポートなど),楽,オンラインテスト,楽,なし,Zoomでの授業とはなっているが、10分で終了し課題を行う時間となる。試験では音声を聞き取りメモを書くのだが、試験ページ外に音声を設置するとの凡ミスを犯したためこのクラスだけ成績が上昇した。
2022/02/07 22:07:05,春学期,Academic Lecture Comprehension 1,原田美穂,先進理工学部,4,3,3,3,課題(問題演習や小レポートなど),,オンラインテスト,,あり,ノートは汚くてOK
2022/02/07 20:46:33,秋学期,Academic Lecture Comprehension 2,原田美穂,先進理工学部,5,3,3,3,小テスト,,オンラインテスト,,あり,できるだけ積極的に話しましょう
2022/02/23 23:40:49,秋学期,Academic Skills (Discussion) Lf C,マグズ・アンドリュウ・ジョン,文化構想学部,5,5（易しい、面白い）,5（易しい、面白い）,4,課題(問題演習や小レポートなど),ふつう,なし,,あり,毎回出されるリスニングさえこなせば単位がきます
2022/02/20 13:11:29,秋学期,Academic Skills (Discussion) Mf D,阿部敬子,文化構想学部,3,3,2,2,"課題(問題演習や小レポートなど), 小テスト",ふつう,オンラインテスト,ふつう,あり,グループで英語でディスカッションをする。先生が定期的に回ってくるので気は抜けない。期末課題として英語でプレゼンをする。
2022/02/20 20:49:05,秋学期,Academic Skills (Discussion) Mf D,阿部敬子,文化構想学部,3,3,3,3,なし,,オンラインテスト,楽,あり,評価は、プレゼンと中間試験、期末試験で決まる。試験は易しい。プレゼンに関しては、それなりに準備する必要があるかと思う。
2022/02/21 11:16:18,秋学期,Academic Skills (Reading) ,赤間勇雄,文学部,5,5（易しい、面白い）,3,3,なし,楽,なし,楽,なし,オンライン授業だと思ったら、まさかの課題を出すだけでした。課題もそんなに難しくないので、楽単だと思います。
